sku_id,sku_name,category,subcategory,brand_type,regular_unit_price_gbp,unit_cost_gbp,baseline_gross_margin_pct,price_elasticity_segment,promotion_sensitivity_segment,demand_volatility_segment,seasonal_profile,is_perishable,shelf_life_days,reorder_lead_time_days
SKU0078,Greenfield Kitchen Roll 750ml,Household & Cleaning,Paper Products,Branded,5.11,3.0,41.29,Medium,Medium,Low,None,False,413,8
SKU0079,Northstar Orange Juice 500ml,Beverages,Juice,Own Label,1.78,0.9,49.44,High,High,High,Christmas,False,526,7
SKU0080,Northstar Free Range Eggs 200g,Dairy & Eggs,Eggs,Own Label,3.96,2.24,43.43,Low,Medium,Medium,None,True,14,1
SKU0081,Northstar Pepperoni Pizza 2 Pack,Frozen,Frozen Pizza,Own Label,6.14,3.29,46.42,Medium,Medium,Medium,None,True,395,4
SKU0082,Northstar Vanilla Ice Cream 1kg,Frozen,Ice Cream,Own Label,3.98,2.38,40.2,Medium,Medium,Medium,Winter,False,477,3
SKU0083,Harbour Cheese & Onion Crisps 150g,Snacks & Confectionery,Crisps,Branded,6.36,4.36,31.45,Low,High,Medium,None,False,524,4
SKU0084,Northstar Merlot Red Wine 4 Pack,Beverages,Wine,Own Label,1.95,0.97,50.26,High,High,High,Summer,False,374,7
SKU0085,Britannia Fruit Pastilles 100g,Snacks & Confectionery,Sweets,Branded,3.73,2.42,35.12,Low,High,Medium,Christmas,False,511,4
SKU0086,Northstar Finest Bathroom Spray 750ml,Household & Cleaning,Cleaning,Premium,12.42,7.43,40.18,Medium,Medium,Low,Winter,False,1078,8
SKU0087,Northstar Natural Yogurt 200g,Dairy & Eggs,Yogurt,Own Label,4.77,3.06,35.85,Low,High,Medium,None,True,23,4
SKU0088,Northstar Picnic Plates 6 Pack,Seasonal,Summer Outdoor,Own Label,14.5,8.51,41.31,High,High,High,Winter,False,273,8
SKU0089,Greenfield Dark Chocolate Bar 150g,Snacks & Confectionery,Chocolate,Branded,6.23,4.03,35.31,Low,High,Medium,None,False,482,1
SKU0090,Britannia Shower Gel 250ml,Health & Beauty,Toiletries,Branded,5.47,3.73,31.81,Medium,Low,Low,Christmas,False,479,2
SKU0091,Northstar Finest Wholemeal Bread 4 Pack,Bakery,Bread,Premium,4.04,2.18,46.04,Medium,Medium,Medium,None,False,90,1
SKU0092,Oakfield Gold Blend Coffee 500g,Ambient Grocery,Tea & Coffee,Branded,3.81,2.37,37.8,Low,Medium,Low,Winter,False,231,2
SKU0093,Greenfield Vanilla Ice Cream 1L,Frozen,Ice Cream,Branded,7.91,5.12,35.27,Medium,Medium,Medium,None,False,528,6
SKU0094,Northstar Toothbrush Each,Health & Beauty,Oral Care,Own Label,9.6,5.07,47.19,Low,High,Low,Christmas,False,965,3
SKU0095,Yorkshire Baked Beans 1kg,Ambient Grocery,Tins,Branded,7.0,4.77,31.86,Low,Medium,Low,Christmas,False,333,1
SKU0096,Northstar Barbecue Charcoal 300g,Seasonal,Summer Outdoor,Own Label,8.41,4.14,50.77,High,High,High,Christmas,False,276,3
SKU0097,Crown Red Leicester 500g,Dairy & Eggs,Cheese,Branded,1.6,0.97,39.38,Low,Low,Medium,Christmas,True,7,2
SKU0098,Northstar Penne Pasta 400g,Ambient Grocery,Pasta & Rice,Own Label,2.7,1.65,38.89,Medium,Medium,Low,None,False,311,7
SKU0099,Yorkshire Toilet Tissue 12 Pack,Household & Cleaning,Paper Products,Branded,10.76,6.99,35.04,Low,Medium,Low,None,False,1142,4
SKU0100,Northstar British Carrots 400g,Fresh Produce,Vegetables,Own Label,4.48,2.17,51.56,High,High,High,Summer,True,8,2
SKU0101,Northstar Vanilla Ice Cream 1kg,Frozen,Ice Cream,Own Label,1.79,0.91,49.16,Medium,Medium,Medium,Winter,False,121,2
SKU0102,Harbour Pinot Grigio 1L,Beverages,Wine,Branded,13.52,8.84,34.62,Low,High,High,None,False,288,7
SKU0103,Northstar Finest Mixed Leaf Salad Each,Fresh Produce,Salads,Premium,2.25,1.28,43.11,High,High,High,None,True,5,1
SKU0104,Crown Colour Laundry Liquid 12 Pack,Household & Cleaning,Laundry,Branded,5.3,3.13,40.94,Medium,Medium,Low,Winter,False,1441,1
SKU0105,Harbour Spaghetti 1kg,Ambient Grocery,Pasta & Rice,Branded,7.23,4.88,32.5,Medium,Medium,Low,Christmas,False,288,8
SKU0106,Crown White Farmhouse Loaf 800g,Bakery,Bread,Branded,5.14,3.08,40.08,Low,Medium,Medium,Easter,True,3,2
SKU0107,Greenfield Sea Salt Crisps 6 Pack,Snacks & Confectionery,Crisps,Branded,5.51,3.38,38.66,Low,High,Medium,Christmas,False,187,8
SKU0108,Greenfield Spaghetti 400g,Ambient Grocery,Pasta & Rice,Branded,7.31,4.69,35.84,Medium,Medium,Low,Winter,False,270,6
SKU0109,Northstar Finest Premium Lager 1L,Beverages,Beer & Cider,Premium,8.75,5.21,40.46,High,High,High,Christmas,False,492,7
SKU0110,Britannia Lemonade 4 Pack,Beverages,Soft Drinks,Branded,10.82,6.99,35.4,Low,High,High,None,False,254,1
SKU0111,Northstar Finest Jelly Sweets 100g,Snacks & Confectionery,Sweets,Premium,6.25,3.53,43.52,High,High,Medium,Christmas,False,454,3
SKU0112,Northstar Margherita Pizza 500g,Frozen,Frozen Pizza,Own Label,2.51,1.22,51.39,Medium,High,Medium,None,False,388,8
SKU0113,Northstar All Butter Croissants 400g,Bakery,Morning Goods,Own Label,1.04,0.55,47.12,Medium,High,Medium,None,True,5,1
SKU0114,Northstar Digestive Biscuits 6 Pack,Snacks & Confectionery,Biscuits,Own Label,1.43,0.77,46.15,High,High,Medium,None,False,316,7
SKU0115,Northstar Fresh Basil 250g,Fresh Produce,Fresh Herbs,Own Label,3.32,1.73,47.89,High,High,High,Summer,True,4,2
SKU0116,Crown Chocolate Chip Cookies 150g,Snacks & Confectionery,Biscuits,Branded,3.15,2.2,30.16,Low,High,Medium,Easter,False,151,2
SKU0117,Crown Sweetcorn 1kg,Ambient Grocery,Tins,Branded,5.11,3.23,36.79,Low,Medium,Low,Winter,False,193,5
SKU0118,Northstar Oat Cereal 1kg,Ambient Grocery,Cereals,Own Label,0.9,0.5,44.44,Medium,Medium,Low,Christmas,False,178,2
SKU0119,Northstar Red Leicester 6 Pack,Dairy & Eggs,Cheese,Own Label,2.04,1.03,49.51,Low,High,Medium,Easter,True,14,3
SKU0120,Northstar Finest Easter Milk Chocolate Egg 180g,Seasonal,Easter,Premium,21.82,13.57,37.81,High,High,High,Easter,False,498,4
SKU0121,Northstar Mixed Nuts 100g,Snacks & Confectionery,Nuts,Own Label,3.11,1.71,45.02,High,High,Medium,Easter,False,405,4
SKU0122,Northstar Spaghetti 500g,Ambient Grocery,Pasta & Rice,Own Label,1.04,0.63,39.42,Medium,Medium,Low,None,False,457,1
SKU0123,Northstar Chocolate Brownies 4 Pack,Bakery,Cakes,Own Label,1.04,0.51,50.96,Medium,High,Medium,Christmas,True,5,3
SKU0124,Northstar Finest Still Water 4 Pack,Beverages,Water,Premium,8.72,5.65,35.21,High,High,High,None,False,303,1
SKU0125,Britannia Fruit Pastilles 6 Pack,Snacks & Confectionery,Sweets,Branded,3.43,2.33,32.07,Low,High,Medium,None,False,483,1
SKU0126,Northstar Deodorant 250ml,Health & Beauty,Toiletries,Own Label,1.65,0.81,50.91,Low,High,Low,Christmas,False,1059,1
SKU0127,Northstar Mayonnaise 80 Bags,Ambient Grocery,Sauces,Own Label,1.4,0.71,49.29,Medium,Medium,Low,Winter,False,560,2
SKU0128,Northstar Finest Tomato Pasta Sauce 80 Bags,Ambient Grocery,Sauces,Premium,9.54,5.29,44.55,Medium,Medium,Low,Winter,False,251,3
SKU0129,Northstar Mixed Leaf Salad Each,Fresh Produce,Salads,Own Label,2.51,1.36,45.82,High,High,High,Winter,True,3,2
SKU0130,Northstar Finest Fresh Basil Each,Fresh Produce,Fresh Herbs,Premium,2.02,1.33,34.16,High,High,High,Summer,True,3,2
SKU0131,Crown Cola 1L,Beverages,Soft Drinks,Branded,0.88,0.57,35.23,Low,High,High,None,False,586,2
SKU0132,Northstar Sweetcorn 500g,Ambient Grocery,Tins,Own Label,1.05,0.55,47.62,Medium,High,Low,Christmas,False,694,8
SKU0133,Northstar Salted Caramel Ice Cream 500g,Frozen,Ice Cream,Own Label,1.58,0.86,45.57,Medium,High,Medium,None,False,121,1
SKU0134,Northstar Chicken Tikka Meal 1L,Frozen,Frozen Meals,Own Label,4.01,2.07,48.38,Medium,High,Medium,Summer,False,510,3
SKU0135,Northstar Christmas Chocolate Selection 180g,Seasonal,Christmas,Own Label,6.49,3.81,41.29,High,High,High,Easter,False,414,5
SKU0136,Northstar Finest Penne Pasta 500g,Ambient Grocery,Pasta & Rice,Premium,9.83,6.34,35.5,Medium,Medium,Low,None,False,250,6
SKU0137,Crown Still Water 2L,Beverages,Water,Branded,5.13,3.3,35.67,Medium,High,High,Christmas,False,596,1
SKU0138,Northstar Salted Butter 200g,Dairy & Eggs,Butter,Own Label,1.87,1.09,41.71,Low,Medium,Medium,None,True,10,1
SKU0139,Greenfield Shower Gel 75ml,Health & Beauty,Toiletries,Branded,14.43,8.66,39.99,Medium,Low,Low,Christmas,False,488,7
SKU0140,Northstar Milk Chocolate Bar 100g,Snacks & Confectionery,Chocolate,Own Label,4.01,2.06,48.63,High,High,Medium,None,False,134,3
SKU0141,Northstar Unsalted Butter 1L,Dairy & Eggs,Butter,Own Label,2.22,1.14,48.65,Low,Medium,Medium,Christmas,True,19,2
SKU0142,Harbour Sweetcorn 400g,Ambient Grocery,Tins,Branded,8.16,4.9,39.95,Low,Medium,Low,None,False,711,7
SKU0143,Harbour British Carrots Each,Fresh Produce,Vegetables,Branded,3.88,2.72,29.9,Medium,High,High,Summer,True,5,2
SKU0144,Yorkshire Merlot Red Wine 1L,Beverages,Wine,Branded,2.41,1.57,34.85,Low,High,High,None,False,215,1
SKU0145,Northstar Mozzarella 1L,Dairy & Eggs,Cheese,Own Label,1.86,0.98,47.31,Low,Medium,Medium,None,True,17,1
SKU0146,Northstar Finest Dark Chocolate Bar 150g,Snacks & Confectionery,Chocolate,Premium,3.46,2.21,36.13,High,High,Medium,None,False,254,4
SKU0147,Greenfield Spaghetti 1kg,Ambient Grocery,Pasta & Rice,Branded,4.24,2.48,41.51,Medium,Medium,Low,Christmas,False,194,6
SKU0148,Britannia Tenderstem Broccoli 400g,Fresh Produce,Vegetables,Branded,3.37,2.01,40.36,Medium,High,High,Winter,True,8,4
SKU0149,Yorkshire Wholemeal Bread 6 Pack,Bakery,Bread,Branded,1.71,1.06,38.01,Medium,Medium,Medium,Easter,True,6,1
SKU0150,Northstar Still Water 2L,Beverages,Water,Own Label,8.9,5.82,34.61,High,High,High,None,False,144,7
